Iteration,Accuracy,Weight Decay
0,0.6340640809443507,1.747528400007683e-09
1,0.6264755480607083,2.7224498908881834e-06
2,0.6821247892074199,5.652437050490834e-06
3,0.7048903878583473,1.4667411082013333e-06
4,0.7377740303541316,0.0004982290216050967
5,0.7504215851602024,0.0010347964949687597
6,0.8136593591905565,0.0002683931587758231
7,0.8178752107925801,1.0403368176783266e-07
8,0.8414839797639123,1.792368340217104e-05
9,0.8777403035413154,0.00013713943858997027
10,0.8381112984822934,0.00010152379288562412
11,0.8676222596964587,3.470280638483994e-07
12,0.857504215851602,9.152942703070501e-08
13,0.8617200674536256,8.255032631912933e-09
14,0.8836424957841484,1.6297508346206433e-08
