Iteration,Accuracy,Weight Decay
0,0.715495764823119,0.08556271867842906
1,0.7877428998505231,0.07656285499744975
2,0.776283009466866,0.06806298374319152
3,0.8290981564524166,0.06006310491565437
4,0.8415545590433483,0.052563218514838285
5,0.8515196811160937,0.04556332454074328
6,0.8674638764324863,0.03906342299336934
7,0.8664673642252118,0.033063513872716464
8,0.8714499252615845,0.027563597178784673
9,0.8789237668161435,0.02256367291157395
10,0.8764324862979571,0.018063741071084306
11,0.8739412057797707,0.014063801657315725
12,0.8784255107125062,0.010563854670268217
13,0.8873941205779771,0.0075639001099417884
14,0.8903836571998007,0.005063937976336426
15,0.8918784255107125,0.0030639682694521392
16,0.8968609865470852,0.0015639909892889213
17,0.8898854010961634,0.0005640061358467762
18,0.8888888888888888,6.401370912570486e-05
19,0.885401096163428,6.401370912570431e-05
