subset_size,loss_based_best_weight_decay,accuracy_based_best_weight_decay,best_accuracy,best_loss
40,5.99484250318941e-08,0.0007924828983539186,0.73,0.11535530842840672
80,0.0035111917342151347,0.0007924828983539186,0.84,0.035661231353878976
120,9.32603346883218e-09,1.747528400007683e-09,0.8549999999999999,0.021371245148281256
160,3.4304692863149195e-08,1.7073526474706922e-06,0.881875,0.013747725617140532
200,2.0565123083486514e-06,2.782559402207126e-05,0.8985000000000001,0.010362395629286765
240,1.1768119524349991e-06,0.0016681005372000592,0.905,0.007655468204369148
280,8.497534359086456e-05,4.641588833612782e-07,0.9075,0.0061441734592829434
320,2.782559402207126e-05,9.111627561154906e-06,0.9134375,0.005348840812221169
360,4.328761281083061e-06,0.008902150854450393,0.913888888888889,0.004853528721465005
400,0.0006579332246575682,0.0006579332246575682,0.9195,0.004091794956475496
